created_at,compound_scores
2022-07-24,0.17267074829931972
2022-07-25,0.2744986842105263
2022-07-26,0.2545101223112611
2022-07-27,0.222315085951393
2022-07-28,0.2299166489172879
2022-07-29,0.21561911983348203
2022-07-30,0.3197403785488959
2022-07-31,0.25981303662859395
2022-08-01,0.25785794743429286
2022-08-02,0.35355397687042717
2022-08-03,0.18712830523513752
2022-08-04,0.21874393939393938
2022-08-05,0.2522996183206107
2022-08-06,0.24998545711260148
2022-08-07,0.2794873228027542
2022-08-08,0.23328535595721137
2022-08-09,0.2294229512813292
2022-08-10,0.25487574004763525
